sol,planetocentric_latitude,longitude,elevation
0,-4.589466996,137.441632997,-4501.04
0,-4.589466996,137.441632997,-4501.04
0,-4.589466996,137.441632997,-4501.04
0,-4.589466996,137.441632997,-4501.04
0,-4.589466996,137.441632997,-4501.04
13,-4.589466996,137.441632997,-4501.04
5,-4.589466996,137.441632997,-4501.04
12,-4.589466996,137.441632997,-4501.04
12,-4.589466996,137.441632997,-4501.04
15,-4.589466996,137.441632997,-4501.04
15,-4.589466996,137.441632997,-4501.04
15,-4.589466996,137.441632997,-4501.04
15,-4.589466996,137.441632997,-4501.04
15,-4.589466996,137.441632997,-4501.04
15,-4.589466996,137.441632997,-4501.04
15,-4.589466996,137.441632997,-4501.04
15,-4.589466996,137.441632997,-4501.04
15,-4.589466996,137.441632997,-4501.04
15,-4.589466996,137.441632997,-4501.04
16,-4.589472074,137.441647168,-4501.071
16,-4.589472074,137.441647168,-4501.071
16,-4.589493294,137.441703373,-4501.094
16,-4.589493294,137.441703373,-4501.094
16,-4.589493294,137.441703373,-4501.094
16,-4.589465001,137.441734,-4501.21
21,-4.589465001,137.441734,-4501.21
21,-4.58940083,137.441685971,-4501.48
21,-4.58940083,137.441685971,-4501.48
21,-4.58940083,137.441685971,-4501.48
22,-4.589345642,137.441699705,-4501.746
22,-4.589345642,137.441699705,-4501.746
22,-4.589348135,137.441707878,-4501.783
22,-4.589350627,137.441716064,-4501.81
22,-4.589353147,137.44172425,-4501.823
22,-4.589355716,137.44173242,-4501.839
22,-4.589358339,137.441740567,-4501.862
22,-4.589360842,137.441748751,-4501.885
22,-4.589363088,137.441757005,-4501.914
22,-4.589365526,137.441765197,-4501.95
22,-4.589368109,137.441773348,-4501.982
22,-4.58937066,137.441781509,-4502.016
22,-4.58937327,137.44178965,-4502.05
22,-4.589375705,137.44179784,-4502.086
22,-4.589377925,137.441806093,-4502.123
22,-4.589380168,137.441814346,-4502.153
22,-4.589382544,137.44182257,-4502.175
22,-4.58938508,137.441830748,-4502.194
22,-4.589387625,137.441838924,-4502.214
22,-4.589390159,137.441847098,-4502.239
22,-4.589392679,137.441855277,-4502.263
22,-4.589395226,137.441863448,-4502.287
22,-4.589397582,137.441871674,-4502.312
22,-4.589399775,137.441879943,-4502.341
22,-4.589403124,137.441892534,-4502.38
22,-4.589403124,137.441892534,-4502.38
22,-4.589403124,137.441892534,-4502.38
24,-4.589403124,137.441892534,-4502.38
24,-4.589403124,137.441892534,-4502.38
24,-4.589403124,137.441892534,-4502.38
24,-4.589400414,137.441900368,-4502.421
24,-4.589395044,137.441916062,-4502.498
24,-4.589386852,137.441939578,-4502.595
24,-4.589378779,137.441963147,-4502.681
24,-4.589370908,137.441986793,-4502.758
24,-4.589360747,137.442018402,-4502.887
24,-4.589350458,137.442049998,-4502.988
24,-4.589339511,137.442081411,-4503.027
24,-4.589343396,137.442113228,-4502.944
24,-4.589343396,137.442113228,-4502.944
24,-4.589343396,137.442113228,-4502.944
24,-4.589343396,137.442113228,-4502.944
24,-4.589397904,137.442142886,-4502.602
24,-4.589446954,137.442181325,-4502.6
24,-4.589446954,137.442181325,-4502.6
24,-4.589446954,137.442181325,-4502.6
26,-4.589470293,137.442203389,-4502.652
26,-4.589470293,137.442203389,-4502.652
26,-4.589470293,137.442203389,-4502.652
26,-4.589477857,137.44220657,-4502.654
26,-4.589485442,137.442209698,-4502.662
26,-4.589500599,137.442215988,-4502.674
26,-4.589515743,137.442222311,-4502.681
26,-4.589500591,137.442216006,-4502.674
26,-4.589500591,137.442216006,-4502.674
26,-4.589500591,137.442216006,-4502.674
26,-4.589500591,137.442216006,-4502.674
26,-4.589500591,137.442216006,-4502.674
26,-4.589507545,137.44222036,-4502.681
26,-4.589514516,137.442224687,-4502.69
26,-4.589528396,137.442233438,-4502.71
26,-4.589542296,137.442242155,-4502.733
26,-4.589528407,137.44223342,-4502.71
26,-4.589528407,137.44223342,-4502.71
26,-4.589528407,137.44223342,-4502.71
26,-4.589528407,137.44223342,-4502.71
26,-4.58958496,137.442292851,-4502.856
26,-4.58958496,137.442292851,-4502.856
26,-4.58958496,137.442292851,-4502.856
26,-4.589640638,137.442353088,-4503.015
26,-4.589695316,137.442414247,-4503.055
26,-4.589749343,137.442475987,-4503.03
26,-4.589749343,137.442475987,-4503.03
26,-4.589749343,137.442475987,-4503.03
29,-4.589749343,137.442475987,-4503.03
29,-4.589756022,137.442482363,-4503.04
29,-4.589762645,137.4424888,-4503.038
29,-4.589769344,137.442495154,-4503.026
29,-4.589776172,137.442501365,-4503.007
29,-4.589782953,137.442507628,-4502.988
29,-4.589789724,137.442513905,-4502.974
29,-4.589796471,137.442520211,-4502.968
29,-4.589803192,137.442526546,-4502.966
29,-4.589809906,137.442532888,-4502.962
29,-4.589816618,137.442539232,-4502.956
29,-4.58982336,137.442545543,-4502.955
29,-4.5898301,137.442551858,-4502.953
29,-4.58983681,137.442558203,-4502.952
29,-4.589843504,137.442564565,-4502.961
29,-4.589850131,137.442570989,-4502.981
29,-4.589856904,137.442577258,-4503.002
29,-4.589863859,137.442583324,-4503.023
29,-4.589870646,137.442589573,-4503.046
29,-4.589877432,137.442595829,-4503.066
29,-4.589884299,137.442601995,-4503.084
29,-4.589891007,137.442608337,-4503.102
29,-4.589897734,137.442614654,-4503.124
29,-4.589904509,137.442620923,-4503.143
29,-4.589911279,137.442627195,-4503.164
29,-4.589918002,137.442633521,-4503.181
29,-4.589924748,137.442639824,-4503.195
29,-4.589931475,137.442646147,-4503.211
29,-4.58993819,137.442652486,-4503.22
29,-4.589944919,137.442658812,-4503.226
29,-4.589951622,137.442665166,-4503.22
29,-4.589958448,137.442671387,-4503.222
29,-4.58996531,137.442677566,-4503.222
29,-4.589972044,137.442683886,-4503.232
29,-4.589978876,137.4426901,-4503.238
29,-4.589978876,137.4426901,-4503.238
29,-4.589984271,137.442697592,-4503.253
29,-4.589989674,137.442705079,-4503.268
29,-4.589995077,137.442712558,-4503.292
29,-4.590000417,137.442720084,-4503.316
29,-4.590005728,137.442727632,-4503.336
29,-4.590011015,137.442735202,-4503.347
29,-4.590016291,137.442742782,-4503.352
29,-4.590021519,137.442750394,-4503.361
29,-4.590026775,137.442757986,-4503.369
29,-4.590032036,137.442765577,-4503.376
29,-4.59003732,137.442773151,-4503.383
29,-4.590042586,137.442780738,-4503.386
29,-4.590047864,137.442788318,-4503.386
29,-4.59005312,137.442795911,-4503.383
29,-4.590058409,137.442803483,-4503.384
29,-4.590063639,137.442811095,-4503.389
29,-4.590068872,137.442818705,-4503.391
29,-4.590074157,137.442826279,-4503.391
29,-4.590079439,137.442833854,-4503.394
29,-4.590084711,137.442841437,-4503.401
29,-4.590089947,137.442849044,-4503.408
29,-4.590121256,137.442893839,-4503.53
29,-4.590121256,137.442893839,-4503.53
29,-4.590121256,137.442893839,-4503.53
29,-4.590121255,137.442893838,-4503.53
29,-4.590121255,137.442893838,-4503.53
29,-4.590121255,137.442893838,-4503.53
29,-4.590121255,137.442893838,-4503.53
38,-4.590121255,137.442893838,-4503.53
38,-4.590123767,137.442899984,-4503.553
38,-4.590126277,137.44290613,-4503.577
38,-4.590128746,137.442912297,-4503.597
38,-4.590131179,137.442918485,-4503.605
38,-4.590133604,137.442924677,-4503.608
38,-4.59013599,137.442930885,-4503.61
38,-4.590138346,137.442937105,-4503.613
38,-4.590140744,137.442943307,-4503.619
38,-4.590143134,137.442949513,-4503.626
38,-4.590145557,137.442955706,-4503.633
38,-4.590147952,137.442961909,-4503.638
38,-4.590150261,137.442968146,-4503.635
38,-4.590152689,137.442974338,-4503.634
38,-4.590155257,137.442980473,-4503.639
38,-4.590157856,137.442986591,-4503.651
38,-4.590160451,137.442992705,-4503.672
38,-4.590163023,137.44299882,-4503.7
38,-4.590165624,137.443004925,-4503.727
38,-4.590168174,137.443011044,-4503.758
38,-4.5901704,137.443016853,-4503.791
38,-4.59017267,137.443023197,-4503.829
38,-4.590175053,137.443029378,-4503.853
38,-4.590177506,137.443035553,-4503.869
38,-4.590179899,137.443041755,-4503.881
38,-4.590182284,137.443047962,-4503.892
38,-4.590184667,137.44305417,-4503.898
38,-4.590187055,137.443060374,-4503.91
38,-4.590189442,137.443066575,-4503.928
38,-4.590191839,137.443072766,-4503.951
38,-4.590194215,137.443078965,-4503.975
38,-4.59019671,137.443085116,-4504.0
38,-4.590199348,137.443091209,-4504.023
38,-4.59020198,137.443097312,-4504.037
38,-4.590204615,137.443103418,-4504.043
38,-4.590207135,137.443109568,-4504.055
38,-4.590209557,137.44311575,-4504.079
38,-4.590212043,137.443121902,-4504.105
38,-4.5902145,137.443128064,-4504.133
38,-4.59021686,137.443134269,-4504.158
38,-4.59021901,137.443140325,-4504.196
38,-4.59021901,137.443140325,-4504.196
38,-4.590220156,137.44314685,-4504.231
38,-4.590221266,137.443153381,-4504.266
38,-4.590222383,137.443159924,-4504.29
38,-4.590223568,137.443166461,-4504.308
38,-4.590224628,137.443173026,-4504.311
38,-4.590225441,137.443179626,-4504.308
38,-4.590226433,137.443186202,-4504.308
38,-4.59022746,137.443192772,-4504.311
38,-4.590228466,137.443199345,-4504.316
38,-4.59022952,137.443205904,-4504.334
38,-4.590230431,137.443212472,-4504.365
38,-4.59023134,137.443219028,-4504.404
38,-4.59023227,137.443225583,-4504.441
38,-4.590233109,137.443232168,-4504.465
38,-4.590233981,137.443238759,-4504.477
38,-4.590235022,137.443245325,-4504.487
38,-4.590236068,137.443251888,-4504.502
38,-4.59023712,137.443258445,-4504.524
38,-4.590238187,137.443265,-4504.546
38,-4.590239257,137.443271558,-4504.561
38,-4.590240215,137.443278133,-4504.579
38,-4.590241044,137.443284657,-4504.591
38,-4.5902435,137.443301601,-4504.62
38,-4.5902435,137.443301601,-4504.62
38,-4.5902435,137.443301601,-4504.62
38,-4.5902435,137.443301601,-4504.62
39,-4.5902435,137.443301601,-4504.62
39,-4.59027804,137.443373412,-4504.633
39,-4.59029327,137.443422935,-4504.639
39,-4.590299361,137.443457041,-4504.591
39,-4.590300707,137.443465034,-4504.585
39,-4.59032496,137.443592535,-4504.712
39,-4.590326524,137.443601054,-4504.718
39,-4.590326524,137.443601054,-4504.718
39,-4.590318489,137.443663256,-4504.7
39,-4.590318489,137.443663256,-4504.7
39,-4.590318489,137.443663256,-4504.7
40,-4.590318489,137.443663256,-4504.7
40,-4.59031475,137.443670225,-4504.711
40,-4.590310958,137.443677162,-4504.728
40,-4.590307129,137.44368408,-4504.742
40,-4.590303249,137.443690971,-4504.756
40,-4.590299367,137.443697861,-4504.769
40,-4.590295512,137.443704766,-4504.78
40,-4.590291677,137.443711683,-4504.791
40,-4.590287836,137.443718596,-4504.803
40,-4.590284037,137.443725532,-4504.816
40,-4.590280237,137.443732469,-4504.825
40,-4.590276423,137.443739399,-4504.829
40,-4.590272589,137.443746319,-4504.83
40,-4.59026874,137.44375323,-4504.827
40,-4.590264849,137.443760116,-4504.818
40,-4.590260935,137.443766989,-4504.809
40,-4.590257088,137.443773902,-4504.812
40,-4.590253189,137.443780785,-4504.812
40,-4.590249271,137.443787657,-4504.807
40,-4.590245333,137.443794513,-4504.791
40,-4.590241653,137.443800965,-4504.771
40,-4.590237987,137.443807232,-4504.754
40,-4.590234144,137.443814126,-4504.744
40,-4.590230325,137.443821053,-4504.742
40,-4.590226513,137.443827985,-4504.74
40,-4.590222725,137.44383493,-4504.736
40,-4.590219012,137.443841915,-4504.73
40,-4.590215322,137.443848912,-4504.729
40,-4.590211714,137.44385595,-4504.74
40,-4.590208041,137.443862946,-4504.762
40,-4.590204169,137.443869834,-4504.785
40,-4.590200206,137.443876671,-4504.806
40,-4.590196345,137.443883574,-4504.815
40,-4.590192666,137.443890578,-4504.814
40,-4.590189013,137.443897594,-4504.81
40,-4.590185336,137.443904599,-4504.809
40,-4.590181724,137.443911637,-4504.809
40,-4.590177998,137.443918614,-4504.812
40,-4.590174124,137.443925511,-4504.809
40,-4.590170177,137.443932366,-4504.802
40,-4.590166334,137.44393928,-4504.798
40,-4.590162872,137.443945874,-4504.808
40,-4.590159199,137.4439528,-4504.814
40,-4.59015552,137.443959774,-4504.837
40,-4.590151868,137.443966787,-4504.85
40,-4.5901482,137.443973796,-4504.856
40,-4.590144548,137.443980812,-4504.865
40,-4.590140748,137.443987744,-4504.881
40,-4.590136778,137.443994582,-4504.897
40,-4.590132974,137.444001516,-4504.908
40,-4.590129251,137.444008493,-4504.914
40,-4.590125335,137.444015367,-4504.913
40,-4.590121395,137.444022224,-4504.901
40,-4.59011746,137.444029076,-4504.878
40,-4.590113535,137.444035921,-4504.844
40,-4.590109615,137.444042769,-4504.811
40,-4.590105703,137.444049636,-4504.79
40,-4.590101822,137.444056523,-4504.774
40,-4.590097991,137.444063433,-4504.751
40,-4.59009417,137.444070348,-4504.726
40,-4.590090344,137.444077254,-4504.697
40,-4.590086503,137.444084155,-4504.67
40,-4.59008289,137.444090663,-4504.651
40,-4.590079143,137.44409741,-4504.634
40,-4.590075317,137.44410431,-4504.618
40,-4.590071492,137.444111229,-4504.601
40,-4.590067726,137.444118169,-4504.573
40,-4.590063947,137.444125102,-4504.545
40,-4.59006012,137.444132012,-4504.519
40,-4.590056311,137.444138937,-4504.498
40,-4.590052599,137.444145913,-4504.476
40,-4.59004896,137.444152935,-4504.464
40,-4.590036464,137.444177658,-4504.45
40,-4.590036464,137.444177658,-4504.45
40,-4.590036464,137.444177658,-4504.45
41,-4.590036464,137.444177658,-4504.45
41,-4.59003292,137.444185183,-4504.456
41,-4.590029412,137.444192724,-4504.462
41,-4.59002586,137.444200245,-4504.468
41,-4.590022309,137.444207766,-4504.475
41,-4.590018755,137.444215284,-4504.487
41,-4.590015179,137.44422279,-4504.503
41,-4.590011611,137.444230297,-4504.522
41,-4.590008038,137.444237801,-4504.542
41,-4.590004473,137.444245309,-4504.562
41,-4.59000091,137.444252813,-4504.588
41,-4.58999738,137.444260333,-4504.614
41,-4.589993861,137.444267864,-4504.631
41,-4.589990384,137.444275419,-4504.637
41,-4.589986946,137.444282993,-4504.634
41,-4.589983537,137.44429058,-4504.627
41,-4.589980049,137.444298131,-4504.625
41,-4.589976515,137.444305661,-4504.625
41,-4.589973006,137.444313203,-4504.627
41,-4.589969528,137.444320759,-4504.629
41,-4.589966301,137.444327873,-4504.627
41,-4.589962991,137.444335154,-4504.642
41,-4.589959601,137.444342729,-4504.652
41,-4.589956248,137.444350338,-4504.664
41,-4.589952725,137.444357872,-4504.668
41,-4.589949051,137.444365334,-4504.675
41,-4.589945382,137.444372797,-4504.684
41,-4.589941782,137.444380296,-4504.687
41,-4.589938282,137.444387842,-4504.689
41,-4.589934777,137.444395386,-4504.692
41,-4.589931237,137.444402912,-4504.699
41,-4.589927689,137.444410435,-4504.704
41,-4.589924127,137.444417952,-4504.709
41,-4.589920591,137.444425481,-4504.711
41,-4.589917127,137.444433044,-4504.709
41,-4.589913696,137.444440621,-4504.712
41,-4.589910275,137.444448203,-4504.714
41,-4.589906845,137.444455781,-4504.719
41,-4.589903418,137.444463359,-4504.726
41,-4.589900043,137.444470961,-4504.732
41,-4.589896522,137.444478496,-4504.734
41,-4.589893033,137.444485491,-4504.734
41,-4.58988937,137.444492711,-4504.74
41,-4.589885671,137.444500141,-4504.741
41,-4.589881985,137.444507597,-4504.745
41,-4.58987827,137.444515038,-4504.755
41,-4.589874581,137.444522488,-4504.772
41,-4.58987106,137.444530014,-4504.795
41,-4.589867541,137.444537545,-4504.812
41,-4.589864013,137.444545072,-4504.828
